S1 	1000000 	0.0 	0.0    0.0 0.0   5
P1 	200000 	50 		0.0    0.000010 0.0000001 1
P1 	200000 	-50 		0.0    -0.00002 -0.001 1
P1 	200000 	50 		50.0    0.00001 0.000001 1
P1 	200000 	-50 		50.0    0.0 -0.001 1
P1 	200000 	50 		-50.0    0.0 0.0000001 1
P1 	200000 	-50 		-50.0    0.0 -0.001 1
P1 	200000 	50 		20.0    -0.00001 0.0000001 1
P1 	200000 	-50 		20.0    0.0 -0.001 1
P1 	200000 	50 		-20.0    -0.00010 -0.0000001 1
P1 	200000 	-50 		-20.0    -0.000001 -0.001 1
P1 	200000 	20 		50.0    -0.000010 -0.0000001 1
P1 	200000 	-10 		30.0    0.00002 0.001 1
P1 	200000 	150 		50.0    -0.00001 0.000001 1
